id,campaign,placement
6147,1,Other Placements
6114,1,Top of Search
6271,13,Other Placements
6264,13,Top of Search
6006,14,Other Placements
6012,14,Top of Search
6167,21,Other Placements
6174,21,Top of Search
5759,28,Other Placements
5754,28,Top of Search
5733,93,Other Placements
5698,93,Top of Search
5719,100,Other Placements
5705,100,Top of Search
5726,107,Other Placements
5712,107,Top of Search
5740,114,Other Placements
5747,114,Top of Search
31283,1223,First page Top of Search on Amazon
31062,1223,Product pages on Amazon
31184,1223,Rest of search on Amazon
31331,1226,First page Top of Search on Amazon
31116,1226,Product pages on Amazon
31235,1226,Rest of search on Amazon
32182,1229,First page Top of Search on Amazon
31360,1229,Product pages on Amazon
31525,1229,Rest of search on Amazon
31252,1230,First page Top of Search on Amazon
31018,1230,Product pages on Amazon
31142,1230,Rest of search on Amazon
31301,1231,First page Top of Search on Amazon
31083,1231,Product pages on Amazon
31203,1231,Rest of search on Amazon
32230,1232,First page Top of Search on Amazon
31056,1232,Product pages on Amazon
31178,1232,Rest of search on Amazon
31678,1233,First page Top of Search on Amazon
31358,1233,Product pages on Amazon
31524,1233,Rest of search on Amazon
31325,1234,First page Top of Search on Amazon
31110,1234,Product pages on Amazon
31229,1234,Rest of search on Amazon
31268,1235,First page Top of Search on Amazon
31044,1235,Product pages on Amazon
31165,1235,Rest of search on Amazon
31253,1236,First page Top of Search on Amazon
31022,1236,Product pages on Amazon
31145,1236,Rest of search on Amazon
31319,1237,First page Top of Search on Amazon
31103,1237,Product pages on Amazon
31223,1237,Rest of search on Amazon
31247,1238,First page Top of Search on Amazon
31014,1238,Product pages on Amazon
31135,1238,Rest of search on Amazon
31307,1239,First page Top of Search on Amazon
31090,1239,Product pages on Amazon
31210,1239,Rest of search on Amazon
31241,1240,First page Top of Search on Amazon
31000,1240,Product pages on Amazon
31122,1240,Rest of search on Amazon
31265,1241,First page Top of Search on Amazon
31039,1241,Product pages on Amazon
31160,1241,Rest of search on Amazon
31277,1242,First page Top of Search on Amazon
31053,1242,Product pages on Amazon
31175,1242,Rest of search on Amazon
31272,1243,First page Top of Search on Amazon
31048,1243,Product pages on Amazon
31170,1243,Rest of search on Amazon
31744,1244,First page Top of Search on Amazon
31445,1244,Product pages on Amazon
31606,1244,Rest of search on Amazon
31288,1245,First page Top of Search on Amazon
31068,1245,Product pages on Amazon
31189,1245,Rest of search on Amazon
31280,1246,First page Top of Search on Amazon
31059,1246,Product pages on Amazon
31181,1246,Rest of search on Amazon
31291,1247,First page Top of Search on Amazon
31071,1247,Product pages on Amazon
31192,1247,Rest of search on Amazon
31313,1248,First page Top of Search on Amazon
31096,1248,Product pages on Amazon
31216,1248,Rest of search on Amazon
31711,1249,First page Top of Search on Amazon
31401,1249,Product pages on Amazon
31565,1249,Rest of search on Amazon
31296,1250,First page Top of Search on Amazon
31077,1250,Product pages on Amazon
31198,1250,Rest of search on Amazon
32167,1251,First page Top of Search on Amazon
31009,1251,Product pages on Amazon
31130,1251,Rest of search on Amazon
31263,1252,First page Top of Search on Amazon
31034,1252,Product pages on Amazon
31155,1252,Rest of search on Amazon
6954,10669,Other Placements
6955,10670,Other Placements
7088,10803,Other Placements
8080,11069,Other Placements
7494,11098,Other Placements
7779,11214,Other Placements
31008,52171,Product pages on Amazon
31258,52191,First page Top of Search on Amazon
31028,52191,Product pages on Amazon
31150,52191,Rest of search on Amazon
31129,52292,Rest of search on Amazon
31246,52409,First page Top of Search on Amazon
34142,55305,Remarketing off-Amazon
34143,55306,Remarketing off-Amazon